Step	Training Loss
1	7.887000
2	7.116700
3	7.726000
4	6.308200
5	5.694800
6	4.961300
7	3.333200
8	3.167200
9	2.340100
10	2.086600
11	2.455600
12	1.902300
13	1.206900
14	1.619100
15	0.754800
16	1.018900
17	1.228200
18	1.313300
19	1.451000
20	1.084800
21	0.860600
22	1.260100
23	1.229300
24	0.942100
25	1.371600
26	1.192200
27	0.728500
28	1.057500
29	0.788000
30	1.133900
31	1.735700
32	0.868300
33	0.771500
34	1.441000
35	0.916100
36	0.607600
37	0.832900
38	1.241600
39	0.597600
40	0.573100
41	0.654500
42	0.906800
43	0.949900
44	1.272100
45	1.878200
46	1.053400
47	0.515200
48	0.722300
49	0.775300
50	1.345000
51	0.864700
52	1.122400
53	0.891700
54	0.835900
55	0.870900
56	0.663000
57	0.816900
58	0.894800
59	0.561300
60	0.864100
61	1.006800
62	0.874800
63	0.929400
64	0.913700
65	1.142700
66	0.728900
67	0.637100
68	0.968300
69	0.921500
70	1.181800
71	0.780600
72	0.737000
73	0.965500
74	0.986600
75	0.817000
76	0.532200
77	1.437800
78	1.092800
79	0.358700
80	0.881200
81	0.853400
82	0.831000
83	0.545100
84	1.061100
85	0.515700
86	1.114500
87	0.701200
88	0.737900
89	1.060600
90	0.738300
91	0.744400
92	0.899900
93	0.705600
94	0.642400
95	0.608300
96	1.265800
97	0.802200
98	0.884200
99	1.109800
100	1.260500
101	0.912300
102	0.904100
103	0.566700
104	0.882600
105	0.495700
106	0.332900
107	0.904100
108	0.497500
109	0.888600
110	0.864000
111	0.497300
112	0.732900
113	0.562400
114	1.597700
115	0.744700
116	1.053800
117	0.671300
118	0.943100
119	0.947900
120	0.599700
121	0.398000
122	0.961200
123	0.880600
124	0.878900
125	0.573100
126	0.635500
127	0.438000
128	0.508100
129	0.903200
130	0.669600
131	1.050700
132	0.780200
133	0.975900
134	0.800300
135	0.534300
136	0.713300
137	0.947900
138	0.838400
139	0.645500
140	0.642100
141	1.022900
142	0.838600
143	1.145400
144	0.497700
145	1.163600
146	0.603200
147	0.933900
148	0.646600
149	0.747100
150	0.616800
151	0.620700
152	0.730600
153	0.764100
154	0.598800
155	0.924100
156	0.836400
157	0.801000
158	0.582500
159	0.771500
160	0.847200
161	1.004600
162	0.697000
163	0.628300
164	0.665000
165	0.772900
166	0.800700
167	0.990800
168	0.824400
169	0.326200
170	1.698700
171	0.355000
172	0.859700
173	0.725000
174	1.040200
175	1.092500
176	0.937900
177	0.807700
178	0.586400
179	0.757100
180	0.803400
181	0.681900
182	0.493000
183	0.790500
184	0.719700
185	0.735400
186	0.375200
187	0.984900
188	0.358700
189	0.660800
190	0.501200
191	0.559800
192	1.052700
193	0.805700
194	0.290500
195	0.519200
196	0.639100
197	0.582300
198	0.358200
199	0.418400
200	0.827000
201	0.842700
202	0.537600
203	0.847900
204	0.985400
205	0.412000
206	0.720400
207	0.569400
208	0.551600
209	1.344800
210	0.888100
211	0.946400
212	0.675900
213	0.504500
214	0.790400
215	0.730500
216	0.568100
217	0.680900
218	0.702300
219	0.482500
220	1.115200
221	0.620200
222	0.323800
223	0.379400
224	0.528400
225	0.710100
226	0.310900
227	0.606800
228	0.560900
229	0.794100
230	0.812500
231	0.825100
232	0.787100
233	0.417100
234	0.669100
235	0.423300
236	0.775900
237	0.526700
238	0.569100
239	0.326000
240	0.579400
241	0.645600
242	0.189400
243	0.713700
244	0.436300
245	0.571800
246	0.433700
247	0.721800
248	0.449600
249	0.665700
250	0.438400
251	0.420000
252	0.462500
253	0.498800
254	0.232800
255	0.571300
256	0.543400
257	0.505500
258	0.623300
259	0.554200
260	0.472200
261	0.419400
262	1.395700
263	0.921400
264	0.741500
265	0.682800
266	0.409200
267	0.224500
268	0.558700
269	0.507700
270	0.534400
271	0.562700
272	0.291900
273	0.716200
274	0.740000
275	0.776600
276	0.943600
277	0.418000
278	0.376700
279	0.528500
280	0.521200
281	0.577900
282	0.450200
283	0.627500
284	0.316300
285	0.380200
286	0.984600
287	0.657300
288	0.692100
289	0.797300
290	0.709600
291	0.668900
292	0.280900
293	0.493900
294	0.250600
295	0.464600
296	0.484100
297	1.211800
298	0.765000
299	0.824600
300	0.677900
301	0.524700
302	0.583100
303	0.803400
304	0.489000
305	0.497000
306	0.394000
307	0.402000
308	0.686300
309	0.625900
310	0.530400
311	0.532700
312	0.511900
313	0.410100
314	0.387500
315	0.376800
